combination,result
+1+6,"Пассивность позиции, черты зависимости, тревожность, неуверенность в себе, мнительность и боязливость, опасения за свое здоровье. Чувство непонятости, недостаток эмоционального тепла со стороны окружающих. Выраженная зависимость от объекта привязанности, потребность в защите и помощи."
+1+7,"Реакция пассивно-протестная (смешанный тип реагирования, характерный для лиц со склонностью к развитию физических недомоганий в ситуации эмоциональной напряженности), выраженная неустойчивость состояния, несбалансированность эмоционально-вегетативного тонуса. Неудовлетворенность и протест против сложившихся обстоятельств, сниженный фон настроения, сочетающийся с протестными реакциями. Потребность в разрешении невыносимой ситуации — и ощущение ее неразрешимости. Осознанный контроль над иррациональными (не поддающимися пониманию) поведенческими реакциями. Столкновение конфликтных мотивов, приводящее к эмоциональной напряженности, которая, не имея возможности быть отреагированной вовне, проявляется психосоматическими расстройствами."
+2,"Скептический настрой в отношении мнения других лиц, потребность в отстаивании собственных установок, упорство, противодействие обстоятельствам, которое носит защитный характер. Практичность и трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы. Чувство соперничества. Значимость собственной социальной позиции. Тропизм к конкретным видам деятельности, сфере точных знаний и положению лидера в социальном окружении."
+2+0,"Скептичность и недоверчивость, потребность в отстаивании собственных установок, упорство, противодействие обстоятельствам, которое носит защитный характер. Практичность и трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы. Чувство соперничества. Значимость собственной социальной позиции. Тропизм к конкретным видам деятельности, сфере точных знаний и положению лидера в социальном окружении. Вышеописанные тенденции сталкиваются с чувством изолированности, наличия трудностей, мешающих реализации ведущей потребности. Трудности общения, проблема межличностного конфликта."
+2+1,"Скептичность, потребность в отстаивании собственных установок, упорство, противодействие обстоятельствам, которое носит защитный характер. Практичность и трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы."
+2+3,"Амбициозность и защитно-оборонительные тенденции, высокая поисковая активность, упорство в достижении цели, выраженная тенденция к доминированию, противодействие давлению внешних факторов, самостоятельность принятия решений, предприимчивость, инициативность. Эти характеристики усилены уверенностью в себе, наступательностью тактики взаимодействия в межличностных контактах, еще более выраженными чертами независимости. Стеничность (волевая активность), стрессоустойчивость, противодействие обстоятельствам, препятствующим свободной самореализации личности, развитое чувство соперничества, увлеченность и стремление к преодолению стоящих на пути к реализации своих намерений препятствий."
+2+4,"Амбициозно-защитные тенденции, потребность в отстаивании собственных установок, упорство, противодействие обстоятельствам, которое носит защитный характер. Практичность и трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы. Чувство соперничества. Значимость собственной социальной позиции. Тропизм к конкретным видам деятельности, сфере точных знаний и положению лидера в социальном окружении сочетается с такими особенностями, как выраженная надежда на успех, потребность в эмоциональной вовлеченности, в переменах, в общении. Оптимистичность, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности. Противоречивое сочетание повышенного чувства собственного достоинства и болезненного самолюбия с подвластностью средовым влияниям, ориентировкой на мнение значимых других и референтной группы. Стремление укрепить самооценку через престижность позиции и популярность среди окружения."
+2+5,"Защитные внешнеобвиняющие тенденции при затрудненной адаптации в межличностных отношениях. Наряду с трезвостью в оценках и рационализмом проявляются элементы субъективизма, сверхчувствительности к критическим замечаниям, недоверчивость, ощущение опасности в связи с недоброжелательностью некоторых людей. Мышление синтетическое, изобретательное, с художественными наклонностями и восприимчивостью к эстетике. Стремление привлечь к себе внимание, завоевать симпатии окружающих и признание своей оригинальности. Тенденция придавать особую значимость своим суждениям и высказываниям других людей. Настороженность. Обидчивость. Тенденция к построению субъективной иррациональной схемы враждебных межличностных отношений."
+2+6,"Реакция на сложившуюся ситуацию внешнеобвиняющая, обидчивая. Упорство в отстаивании своих позиций неустойчиво, наталкивается на трудности в межличностных контактах, что вызывает повышенную раздражительность, тревожную неуверенность, усталость и ухудшение самочувствия; характеристики стеничности направлены на преодоление чувства дискомфорта и неуверенности, смягчены некоторой конформностью установок. Ощущение известной приниженности своего социального престижа."
+2+7,"Реакция на сложившуюся ситуацию агрессивная, внешнеобвиняющая. Гиперстенические (сверхактивные) тенденции с выраженным чувством протеста. Ригидность установок в отстаивании своих позиций, ущемленность чувства собственного достоинства, под угрозой престижность позиции, что вызывает нарастание эмоций гнева; характеристики стеничности (активности) резко усилены противодействием среды, неблагоприятными обстоятельствами, бороться с которыми трудно в силу субъективно переживаемого чувства их неотвратимости."
+3,"Активность и наступательность, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, непосредственность и рас^ крепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности (активности) и мужественности, склонность к риску."
+3+0,"Противоречивость тенденций, активность компенсирует невозможность полной реализации насущных потребностей. Высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску. Характеристики воли направлены на преодоление конфликта с окружением. Трудности самореализации усиливают непосредственность поведенческих реакций, но это не приносит чувства удовлетворения, увеличивает дистанцию в отношениях с окружающими и усугубляет остроту конфликта."
+3+1,"Смешанный тип реагирования, в котором конфликтно сочетаются разнонаправленные тенденции. Такие характеристики, как активность позиции, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску используются как инструмент достижения гармоничных и доброжелательных отношений с окружающими, особенно в дружеских и интимно-эротических контактах. Внешне уравновешенное поведение дается ценой известного напряжения с тенденцией к раскачиванию вегетативного баланса и физическим недомоганиям, мишенью которых является сердце."
+3+2,"Активность, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску сочетаются с такими тенденциями, как скептичность и внешнеобвиняющие реакции, потребность в отстаивании собственных установок, упорство, противодействие обстоятельствам, которое носит защитный характер. Практичность и трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы. Чувство соперничества. Значимость собственной социальной позиции. Тропизм к конкретным видам деятельности, сфере точных знаний и положению лидера в социальном окружении. Стрессоустойчивость, стремление к престижной позиции, доминированию. Склонность к вспыльчивости в конфликтных ситуациях."
+3+4,"Активность, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, Черты стеничности и мужественности, склонность к риску сочетаются с неустойчивостью эмоционального состояния, тенденция к самореализации — с изменчивостью установок и непоследовательностью. Яркость эмоциональных реакций, экзальтация чувств, широкий спектр увлечений, оптимистичность, выраженная общительность, поиски новых контактов и сфер интересов. Самооценка неустойчива, наряду с высоким уровнем притязаний неуверенность в себе, которая легко переходит в другую крайность в ситуации признания и успеха в глазах окружения."
+3+5,"Активность самореализации, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску сочетаются с чертами эмоциональной незрелости, индивидуалистичностью, повышенным стремлением к независимой позиции, ирреальностью завышенных притязаний. Нетривиальный подход к решению проблем, оригинальность, некоторая склонность к рисовке, стремление привлечь внимание к себе и вовлечь в сферу своего обаяния тех, чье мнение значимо. При достаточно высоком интеллекте данный эмоционально-динамический рисунок представляет собой оптимальные условия для проявления творческих способностей."
+3+6,"Активность, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску — все эти тенденции сталкиваются с напряженностью физиологических потребностей, чувством общего дискомфорта, утратой привычного жизненного стереотипа. Высокая активность направлена на поиски выхода из неблагоприятной ситуации, которая оказывает фрустрирующее воздействие, препятствует реализации намерений и ущемляет личностный престиж. Дискомфорт вызывает напряженность биологических потребностей, повышенную тревожность, потребность в расслаблении, успокоении."
+3+7,"Высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, целенаправленность действий, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности (активности) и мужественности, склонность к риску. Повышенная активность связана с протестной гиперстенической реакцией, стремлением к независимости, отстаиванием своих индивидуалистических устремлений от давления авторитетов. Импульсивность поведения, пренебрежение условностями. Трудности социальной адаптации. Склонность к протестным поведенческим реакциям. Агрессивнось."
+4,"Потребность в действии, эмоциональной вовлеченности, в переменах, в общении. Оптимистичность, эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности."
+4+0,"Потребность в действии, эмоциональной вовлеченности, в переменах, в общении сталкивается с препятствиями, что создает чувство повышенной усталости, затруднения в контактах с окружающими. Эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим .— Все эти характерные черты акцентированы в связи с повышенной зависимостью от средовых воздействий, поисками признания и стремлением к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности. Все это — вопреки трудностям, отсутствию поддержки и помощи со стороны окружающих, неопределенности ситуации. Смутное ощущение тревожности, вытеснение проблем. Эмоциональная напряженность, причины которой практически не осознаются."
+4+1,"Неустойчивость фона настроения, противоречивость реакций, непосредственно связанная с противодействием разнонаправленных тенденций. Потребность в действии, эмоциональной вовлеченности, в переменах, в общении. Оптимистичность, эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности сочетаются с такими свойствами? как потребность в прочной и глубокой привязанности, эмоциональном комфорте и защите от внешних воздействий. Дружелюбие, конформность установок. Потребность в понимании? любви и поддержке является ведущей и поэтому наиболее легко травмируемой мишенью. Отсюда некоторая избирательность в контактах, аналитический склад ума, менее беспечный подход к решению проблем, временами стремления к покою, уединенности, всплески активности быстро сменяются фазой пассивности — что создает почву для внутреннего конфликта, в ситуации личностно значимой ведущими являются тенденции стенического круга и проявляется повышенная эмотивность. В социально значимой ситуации эти свойства успешно контролируются. Склонность к перепадам в настроении — от приподнятого, экзальтированного до грустного. Выраженная зависимость от средовых воздействий и от ситуации успеха-неуспеха."
+4+2,"Надежда на успех и выраженная эмотивность сочетаются с педантизмом. Преобладают такие характеристики как потребность в действии, эмоциональной вовлеченности, в переменах, в общении, оптимистичность, эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии, тенденция к избеганию ответственности, в выборе вида деятельности ориентированность на то, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности. Эти черты усиливаются такими тенденциями, как упрямство, практичность, потребность в отстаивании собственных установок, упорство, агрессивность, которая носит защитный характер. Трезвость суждений, рационализм, тенденция к системному подходу при решении проблем. Опора на накопленный опыт. Ориентировка на собственное мнение, сопротивление внешне-средовым воздействиям. Зрелость жизненной платформы. Чувство соперничества. Значимость собственной социальной позиции. Тропизм к конкретным видам деятельности, сфере точных знаний и положению лидера в социальном окружении. Неустойчивость и ригидность в сочетании могут взаимно уравновешивать друг друга при хорошем контроле достаточно высокого интеллекта. Широта диапазона интересов и высокая поисковая активность в содружестве с тенденцией к планомерности в принятии решений и действиях способствуют эффективной деятельности. При недостаточной личностной интеграции — повышенная конфликтность. Проблема личности, ""ищущей признания""."
+4+3,"Такие характеристики, как потребность в действии, в эмоциональной вовлеченности, в переменах, в общении, оптимистичность и легкое вживание в разные социальные роли, демонстративность, стремление нравиться окружающим, зависимость от ередовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии, тенденция к избеганию ответственности, стремление придавать наибольшее значение тому, чтобы сам Процесс деятельности приносил удовольствие, трудности адаптации в условиях жесткого регламента, при выраженной эмоциональной переключаемости и непостоянстве в привязанностях, непосредственности чувств, пристрастии к забавам и игровому компоненту в деятельности усиливаются такими свойствами; как активность позиции, высокая мотивация достижения, потребность в обладании жизненными благами, стремление к доминированию, нормальная эротичность, непосредственность и раскрепощенность поведения, высокая самооценка, потребность в самореализации, противодействие обстоятельствам, препятствующим свободной самореализации личности, черты стеничности и мужественности, склонность к риску. Непоследовательность, своеволие, повышенное чувство авторитарности. Тенденция к самореализации при повышенной эмотивности, склонности разбрасываться, браться сразу за несколько дел."
+4+5,"Эмоциональная неустойчивость, повышенная эмотивность. Потребность в общении* эмоциональной вовлеченности, в переменах, в признании. Оптимистичность, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремление к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности — все это усугубляется ирреальностью притязаний, чертами эмоциональной незрелости, трудностями социальной адаптации. Художественный склад мышления, элементы артистизма в поведении, потребность в сильных переживаниях, богатое воображение, повышенная ранимость, впечатлительность, мечтательность. Склонность к выбору занятий в сфере искусства и избеганию рамок режимных видов деятельности и формальностей."
+4+6,"Реакция эмоциональной неустойчивости в ситуации переутомления или утраты привычного жизненного стереотипа. Потребность в общении, эмоциональной вовлеченности, в переменах усилена в связи с ситуацией, в которой ощущается общий дискомфорт и чувство приниженности. Оптимистичность, эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремления к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности. Состояние эмоциональной напряженности, физическая усталость, дискомфорт. Эмоциональная неустойчивость усугубляется недомоганием, опасениями за свое здоровье, тревожными ощущениями надвигающейся опасности. Потребность в избавлении от проблем. Вытеснение психологических причин и соматизация конфликта. Напряженность физиологических потребностей."
+4+7,"В силу неприемлемых обстоятельств, вызывающих протест и негативизм, резко усилены такие свойства личности, как потребность в общении, эмоциональной вовлеченности, в переменах, поиски признания. Оптимистичность, эмоциональная неустойчивость, легкое вживание в разные социальные роли, демонстративность, потребность нравиться окружающим, зависимость от средовых воздействий, поиски признания и стремление к сопричастности в межличностном взаимодействии. Тенденция к избеганию ответственности. В выборе вида деятельности наибольшее значение придается тому, чтобы сам процесс деятельности приносил удовольствие. Любые формальные рамки тесны и плохо переносятся. Выраженная эмоциональная переключаемость без глубины переживаний и непостоянство в привязанностях. Непосредственность чувств, пристрастие к забавам, игровому компоненту в деятельности. Выраженная эмоциональная напряженность. Стремление уйти от проблем и ответственности сталкивается с серьезным препятствием, вызывающим чувство протеста. Непосредственность поступков и высказываний может быть поспешной и опережать их продуманность. Активные поиски выхода из ситуации избыточно суетливы, непоследовательны, непланомерны."
+5,"Неустойчивость, трудности социальной адаптации, эмоциональность и субъективность пристрастий превалирует над рассудочностью. Нешаблонный, самобытный подход к решению проблем, оригинальность мышления, богатое воображение, недостаток практицизма, реалистичности. Индивидуалистичность, создающая трудности в попытках завязывания контактов. Ранимость, сензитивность. Трудно вырабатываются навыки общепринятых норм поведения. Тонкая нюансированность чувств, своеобразие интересов, суждений."
+5+0,"Трудности социальной адаптации у личности своеобразной, избирательной в контактах, оторванной от реальности повседневной жизни. Пассивно-созерцательная позиция, иррациональный способ защиты от стресса и межличностных конфликтов. Потребность в отстаивании своего индивидуального стиля путем пассивного сопротивления с уходом в мир идеальных субъективных представлений и переживаний, в мир фантазий и мечты."
+5+1,"Неустойчивость, трудности социальной адаптации, эмоциональности и субъективность пристрастий превалирует над рассудочностью.-Нр шаблонный, самобытный подход к решению проблем, оригинальности мышления, богатое воображение, недостаток практицизма, реалистичности. Индивидуалистичность, создающая трудности в попытках завязывания контактов. Ранимость, сензитивность. Трудно вырабатываются навыки общепринятых норм поведения. Тонкая нюансированность чувств, своеобразие интересов, суждений сочетается с такими особенностями, как потребность в прочной и глубокой привязанности, эмоциональном комфорте и защите от внешних воздействий. Дружелюбие, конформность установок. Потребность в понимании, любви и поддержке является ведущей и поэтому наиболее легко травмируемой мишенью. Замкнутость, избирательность в контактах, аналитический склад ума, вдумчивый подход к решению проблем, инертность в принятии решений. Тормозимые черты, преобладание стремления к покою, уединенности, всплески активности быстро сменяются фазой пассивности. Эстетическая ориентированность, уход от житейских проблем в мир искусства, поэзию, мир фантазий."
+5+2,"Трудности социальной адаптации. Повышенная обидчивость. Трудности межличностных отношений, смешанный тип реагирования, сензитивность к критическим замечаниям со стороны окружающих, недоверчивость. Изобретательный склад ума, нешаблонность решений сочетается с тенденцией к систематизации, иррациональность чувств с трезвостью суждений. Подозрительность, повышенное чувство справедливости, стремление настоять на своем. Потребность в признании своего авторитета в глазах окружающих. Планомерность действий сочетается с осторожностью и чуткой реакцией на изменения в ситуации. Восприимчивость к эстетике."
+5+3,"Трудности социальной адаптации в силу повышенной сензитивности и выраженной индивидуалистичности. Неустойчивость мотивационной направленности. Повышенная эмотивность, потребность в самореализации при недостаточно развитом контроле. Экзальтированность. Нешаблонный подход к решению проблем, склонность к расширению сферы интересов, увлеченность. Стремление привлечь внимание окружающих, высокий уровень притязаний, избирательность в контактах, своеобразие интересов. Адаптация затрудняется в жестко регламентированной ситуации и в контактах с людьми категоричными и нетерпимыми."
+5+4,"Трудности социальной адаптации в силу повышенной чувствительности и выраженного индивидуализма. Выраженная эмоциональная неустойчивость, быстрая переключаемость внимания, легкое вживание в разные социальные роли. Артистизм, экзальтированность, иррациональность притязаний. Высокий, но неустойчивый уровень самооценки, на которую оказывает влияние мнение окружающих, отсюда повышенная потребность в признании, элементы демонстративности. Развитое воображение, богатая фантазия, художественный стиль восприятия. Черты эмоциональной незрелости. Благоприятная почва для развития творческой одаренности."
+5+6,"Состояние тревожное, неустойчивое, обостренная чувствительность к средовым воздействиям, трудности адаптации, связанные с индивидуальным своеобразием и известным идеализмом. Выраженная избирательность в отношении жизненны:: ценностей, в контактах с людьми. Сужена зона жизненного комфорта: потребность в щадящих условиях, прихотливость вкуса. Повышенная мнительность, болезненная сосредоточенность на своих ощущениях, склонность к страхам."
+5+7,"Протестно-негативная иррациональная реакция на ситуацию. Эмоциональная напряженность, трудности адаптации, чувство неудовлетворенности в связи с обстоятельствами, субъективно оцениваемыми как навязанные и нежелательные. Потребность в сохранении собственного стиля самореализации фрустрирована, способы решения проблем носят иррациональный характер, однако поступки и высказывания не столь агрессивны, сколь своеобразны. Ощущение диссонанса с окружением, неэтичности происходящего вокруг. Столкновение идеальных представлений с грубой реальностью."
+6,"Неудовлетворенность потребности в физиологическом комфорте, повышенная тревожность, эмоциональная напряженность с тенденцией к биологизации тревоги (плохое самочувствие). Опасения, связанные с недомоганием, усталостью, перенапряжением. Потребность в отдыхе, щадящем режиме, восстановлении сил."
